"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2";"SOT-753";1;"MCP73831T-2ACI_OT";;;
2;"D1";"SOD-123";1;"MBR0520LT1G";;;
3;"R3,R9,R27";"0402-res";3;"R_1k5_0402";;;
4;"D2";"LED_0603";1;"LG_L29K-G2J1-24-Z";;;
5;"X1";"SMD-2_3.2x1.5mm";1;"ECS-_327-12_5-34B-TR";;;
6;"C6,C7";"0402-cap";2;"C_12p_0402";;;
7;"C8,C12,C13,C15,C17,C9,C10,C18,C11";"0402-cap";9;"C_100n_0402_6V3";;;
8;"R8,R10,R14,R19,R23,R32,R15,R36,R37,R6,R31,R21,R22,R34";"0402-res";14;"R_10k_0402";;;
9;"TP1,TP2,TP6";"Testpoint_smd_1mm";3;"TP_SMD1MM";;;
10;"R11,R7,R40,R39,R38,R29,R28";"0402-res";7;"R_22R_0402";;;
11;"R16";"0402-res";1;"R_200k_0402";;;
12;"D3,D11,D5";"SOT-3";3;"TPD2EUSB30DRTR";;;
13;"R2,R20,R18";"0402-res";3;"R_4k7_0402";;;
14;"R12,R5,R17";"0402-res";3;"R_100k_0402";;;
15;"C14,C16,C1,C5,C2";"0603-cap";5;"C_4u7_0603";;;
16;"J3";"1x16_pinhead";1;"1x16_pinhead";;;
17;"J4";"PinHeader_2x1mm_P2mm_SMD_RA";1;"S2B-PH-SM4-TB_LF__SN_";;;
18;"R24,R26,R13";"0402-res";3;"R_100R_0402";;;
19;"J6";"PinHeader_2x5_P1.27_SMD";1;"FTSH-105-01-L-DV-K";;;
20;"R25";"0402-res";1;"R_220R_0402";;;
21;"S2,S1";"SW_SPST_4.2x2.8";2;"KMR2";;;
22;"U4";"PG-VLGA-8-2";1;"DPS310";;;
23;"L1";"0806";1;"DFE201610E-R47M=P2";;;
24;"U1";"QFN-8_2x1mm";1;"TPS62821DLCR";;;
25;"C3";"0402-cap";1;"C_100p_0402";;;
26;"R4";"0402-res";1;"R_453k_0402";;;
27;"C4";"0603-cap";1;"C_22u_0603";;;
28;"U5";"MC3635";1;"MC3635";;;
29;"J7,J1";"PinHeader_1x2_P2.54_Drill0.9mm";2;"61300211121";;;
30;"Q1";"SOT-563";1;"NX3008CBKV";;;
31;"Q2,Q3";"SOT-563";2;"2N7002PV";;;
32;"R30,R33,R41,R42";"R_Array_Convex_8x0602";4;"EXB2HV220JV";;;
33;"M1,M2,M3,M4";"MPAD";4;"mounting_pad";;;
34;"MIC1";"IM69D130";1;"IM69D130";;;
35;"D4";"LED-PLCC4_3.2x2.8mm_B";1;"ASMB-MTB1-0A3A2";;;
36;"TP4,TP5";"Testpoint_THT_Drill0.9mm";2;"TP_THT";;;
37;"D6";"SOD-323-SD05";1;"SD05C.TCT";;;
38;"J2";"1x12_pinhead";1;"1x12_pinhead";;;
39;"J8";"2x8_pinhead";1;"2x8_pinhead";;;
40;"U3";"GD25Q16CWIG";1;"GD25Q16CWIGR";;;
41;"C19";"0402-cap";1;"C_1u_0402";;;
42;"Q4";"SOT-523";1;"DMG1012T-7";;;
43;"R1";"0402-res";1;"R_1M5_0402";;;
44;"J5";"USB_Micro_B_Female_0473460001";1;"0473460001";;;
45;"IC1";"BGA-64_8x8_3.5x3.5mm";1;"EOS-S3-BGA64";;;
46;"N1";"oshw-logo";1;"oshw_logo";;;
47;"N2";"LOGO";1;"ql_logo";;;
