Source:,G:\WSP-KiCad6\quick-feather-dev-board-master\quickfeather-board.kicad_sch,,,,,,,,,,
Date:,8/27/2022 15:30,,,,,,,,,,
Tool:,Eeschema (6.0.7),,,,,,,,,,
Generator:,F:\Program Files\KiCad6\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,,
Component Count:,101,,,,,,,,,,
,,,,,,,,,,,
Individual Components:,,,,,,,,,,,
,,,,,,,,,,,
Item,Qty,Reference(s),Value,MPN,Manufacturer,Val,,,,,
,,C1,C_4u7_0603,C1608X5R1V475M080AC,TDK,4u7,,,,,
,,C2,C_4u7_0603,C1608X5R1V475M080AC,TDK,4u7,,,,,
,,C3,C_100p_0402,0402N101J500CT,WALSIN,100p,,,,,
,,C4,C_22u_0603,GRM188R60J226MEA0D,MURATA,22u,,,,,
,,C5,C_4u7_0603,C1608X5R1V475M080AC,TDK,4u7,,,,,
,,C6,C_12p_0402,CGA2B2C0G1H120J050BA,TDK,12p,,,,,
,,C7,C_12p_0402,CGA2B2C0G1H120J050BA,TDK,12p,,,,,
,,C8,C_100n_0402_6V3,0402X104K6R3CT,Walsin,100n,,,,,
,,C9,C_100n_0402_6V3,0402X104K6R3CT,Walsin,100n,,,,,
,,C10,C_100n_0402_6V3,0402X104K6R3CT,Walsin,100n,,,,,
,,C11,C_100n_0402_6V3,0402X104K6R3CT,Walsin,100n,,,,,
,,C12,C_100n_0402_6V3,0402X104K6R3CT,Walsin,100n,,,,,
,,C13,C_100n_0402_6V3,0402X104K6R3CT,Walsin,100n,,,,,
,,C14,C_4u7_0603,C1608X5R1V475M080AC,TDK,4u7,,,,,
,,C15,C_100n_0402_6V3,0402X104K6R3CT,Walsin,100n,,,,,
,,C16,C_4u7_0603,C1608X5R1V475M080AC,TDK,4u7,,,,,
,,C17,C_100n_0402_6V3,0402X104K6R3CT,Walsin,100n,,,,,
,,C18,C_100n_0402_6V3,0402X104K6R3CT,Walsin,100n,,,,,
,,C19,C_1u_0402,C1005X6S1A105K050BC,TDK,1u,,,,,
,,D1,MBR0520LT1G,MBR0520LT1G,ON Semiconductor,,,,,,
,,D2,LG_L29K-G2J1-24-Z,LG L29K-G2J1-24-Z,OSRAM Opto Semiconductors Inc.,,,,,,
,,D3,TPD2EUSB30DRTR,TPD2EUSB30DRTR,Texas Instruments,,,,,,
,,D4,ASMB-MTB1-0A3A2,UHD1110-FKA,Broadcom,,,,,,
,,D5,TPD2EUSB30DRTR,TPD2EUSB30DRTR,Texas Instruments,,,,,,
,,D6,SD05C.TCT,SD05C.TCT,Semtec,,,,,,
,,D11,TPD2EUSB30DRTR,TPD2EUSB30DRTR,Texas Instruments,,,,,,
,,IC1,EOS-S3-BGA64,EOSA1-S-PUN64,QuickLogic,,,,,,
,,J1,61300211121,61300211121,Wurth Electronic,,,,,,
,,J2,1x12_pinhead,MC34733,Multicomp,,,,,,
,,J3,1x16_pinhead,61301611121,Wurth Elektronik,,,,,,
,,J4,S2B-PH-SM4-TB_LF__SN_,S2B-PH-SM4-TB(LF)(SN),JST Sales America Inc.,,,,,,
,,J5,473460001,473460001,Molex,,,,,,
,,J6,FTSH-105-01-L-DV-K,FTSH-105-01-L-DV-K,Samtec Inc.,,,,,,
,,J7,61300211121,61300211121,Wurth Electronic,,,,,,
,,J8,2x8_pinhead,2213S-16G ,Multicomp,,,,,,
,,L1,DFE201610E-R47M=P2,DFE201610E-R47M=P2,Murata,,,,,,
,,M1,mounting_pad,,,,,,,,
,,M2,mounting_pad,,,,,,,,
,,M3,mounting_pad,,,,,,,,
,,M4,mounting_pad,,,,,,,,
,,MIC1,IM69D130,IM69D130,Infineon,,,,,,
,,N1,oshw_logo,,,,,,,,
,,N2,ql_logo,,,,,,,,
,,Q1,NX3008CBKV,NX3008CBKV,Nexperia,,,,,,
,,Q2,2N7002PV,2N7002PV,Nexperia,,,,,,
,,Q3,2N7002PV,2N7002PV,Nexperia,,,,,,
,,Q4,DMG1012T-7,DMG1012T-7,Diodes Incorporated,,,,,,
,,R1,R_1M5_0402,MCWR04W1504FTL,Multicomp,1M5,,,,,
,,R2,R_4k7_0402,ERJ2GEJ472X,PANASONIC_ELECTRONIC_COMPONENTS,4k7,,,,,
,,R3,R_1k5_0402,ERJ2RKF1501X,PANASONIC_ELECTRONIC_COMPONENTS,1k5,,,,,
,,R4,R_453k_0402,CRCW0402453KFKED,VISHAY,453k,,,,,
,,R5,R_100k_0402,CRCW0402100KFKEDHP,VISHAY,100k,,,,,
,,R6,R_10k_0402,CRCW040210K0FKEDHP,VISHAY,10k,,,,,
,,R7,R_22R_0402,CRCW040222R0FKED,VISHAY,22R,,,,,
,,R8,R_10k_0402,CRCW040210K0FKEDHP,VISHAY,10k,,,,,
,,R9,R_1k5_0402,ERJ2RKF1501X,PANASONIC_ELECTRONIC_COMPONENTS,1k5,,,,,
,,R10,R_10k_0402,CRCW040210K0FKEDHP,VISHAY,10k,,,,,
,,R11,R_22R_0402,CRCW040222R0FKED,VISHAY,22R,,,,,
,,R12,R_100k_0402,CRCW0402100KFKEDHP,VISHAY,100k,,,,,
,,R13,R_100R_0402,CR0402-FX-1000GLF,BOURNS,100R,,,,,
,,R14,R_10k_0402,CRCW040210K0FKEDHP,VISHAY,10k,,,,,
,,R15,R_10k_0402,CRCW040210K0FKEDHP,VISHAY,10k,,,,,
,,R16,R_200k_0402,RC0402FR-07200KL,YAGEO_(PHYCOMP),200k,,,,,
,,R17,R_100k_0402,CRCW0402100KFKEDHP,VISHAY,100k,,,,,
,,R18,R_4k7_0402,ERJ2GEJ472X,PANASONIC_ELECTRONIC_COMPONENTS,4k7,,,,,
,,R19,R_10k_0402,CRCW040210K0FKEDHP,VISHAY,10k,,,,,
,,R20,R_4k7_0402,ERJ2GEJ472X,PANASONIC_ELECTRONIC_COMPONENTS,4k7,,,,,
,,R21,R_10k_0402,CRCW040210K0FKEDHP,VISHAY,10k,,,,,
,,R22,R_10k_0402,CRCW040210K0FKEDHP,VISHAY,10k,,,,,
,,R23,R_10k_0402,CRCW040210K0FKEDHP,VISHAY,10k,,,,,
,,R24,R_100R_0402,CR0402-FX-1000GLF,BOURNS,100R,,,,,
,,R25,R_220R_0402,RMCF0402JT220R,Stackpole Electronics Inc,220R,,,,,
,,R26,R_100R_0402,CR0402-FX-1000GLF,BOURNS,100R,,,,,
,,R27,R_1k5_0402,ERJ2RKF1501X,PANASONIC_ELECTRONIC_COMPONENTS,1k5,,,,,
,,R28,R_22R_0402,CRCW040222R0FKED,VISHAY,22R,,,,,
